Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_1.0mgmL.dat D:/DATANALYSIS_C/Reference_Proteins_Benchmark_SAXS_102018/Standards Data Share_JT_201119/SAXS/UMD-APS from Alex/Lsz_APS_12IDB_5.0mgmL.dat  
 1.620000e-001  1.612967e-003  5.340506e-006
 1.640000e-001  1.541134e-003  6.410116e-006
 1.660000e-001  1.463377e-003  5.981544e-006
 1.680000e-001  1.399767e-003  5.928175e-006
 1.700000e-001  1.320655e-003  6.176078e-006
 1.720000e-001  1.252193e-003  6.158431e-006
 1.740000e-001  1.196748e-003  5.306875e-006
 1.760000e-001  1.139338e-003  5.598807e-006
 1.780000e-001  1.085829e-003  6.193723e-006
 1.800000e-001  1.015390e-003  5.790389e-006
 1.820000e-001  9.750405e-004  4.972693e-006
 1.840000e-001  9.306803e-004  4.399890e-006
 1.860000e-001  8.751590e-004  5.226696e-006
 1.880000e-001  8.269400e-004  5.519313e-006
 1.900000e-001  7.947302e-004  5.116810e-006
 1.920000e-001  7.448207e-004  5.934908e-006
 1.940000e-001  7.012549e-004  4.804657e-006
 1.960000e-001  6.603831e-004  5.700098e-006
 1.980000e-001  6.438748e-004  4.187767e-006
 2.000000e-001  6.029566e-004  4.402096e-006
 2.020000e-001  5.729329e-004  4.788299e-006
 2.040000e-001  5.466606e-004  5.098277e-006
 2.060000e-001  5.132684e-004  4.774664e-006
 2.080000e-001  4.890300e-004  4.773862e-006
 2.100000e-001  4.686255e-004  4.585746e-006
 2.120000e-001  4.266374e-004  4.172758e-006
 2.140000e-001  4.131649e-004  4.826084e-006
 2.160000e-001  3.906029e-004  4.694112e-006
 2.180000e-001  3.807263e-004  4.774177e-006
 2.200000e-001  3.649853e-004  4.794343e-006
 2.220000e-001  3.448957e-004  4.709696e-006
 2.240000e-001  3.246968e-004  4.777215e-006
 2.260000e-001  3.122280e-004  4.108876e-006
 2.280000e-001  2.916231e-004  4.243858e-006
 2.300000e-001  2.835692e-004  4.909671e-006
 2.320000e-001  2.703705e-004  4.925054e-006
 2.340000e-001  2.675029e-004  4.378722e-006
 2.360000e-001  2.581038e-004  5.066538e-006
 2.380000e-001  2.493093e-004  4.749141e-006
 2.400000e-001  2.418907e-004  5.011709e-006
 2.420000e-001  2.153555e-004  4.789330e-006
 2.440000e-001  2.259746e-004  4.512583e-006
 2.460000e-001  2.169011e-004  4.126208e-006
 2.480000e-001  2.179406e-004  4.527249e-006
 2.500000e-001  2.048043e-004  3.973010e-006
 2.520000e-001  2.071190e-004  3.895065e-006
 2.540000e-001  1.980797e-004  3.659795e-006
 2.560000e-001  2.013302e-004  4.283501e-006
 2.580000e-001  2.003069e-004  4.120766e-006
 2.600000e-001  1.998436e-004  4.116239e-006
 2.620000e-001  1.921763e-004  4.634357e-006
 2.640000e-001  1.994949e-004  3.548650e-006
 2.660000e-001  1.851691e-004  3.948487e-006
 2.680000e-001  1.915822e-004  3.864012e-006
 2.700000e-001  1.887933e-004  3.830066e-006
 2.720000e-001  1.861081e-004  4.184501e-006
 2.740000e-001  1.936647e-004  3.862780e-006
 2.760000e-001  1.872997e-004  3.965933e-006
 2.780000e-001  1.870706e-004  4.056170e-006
 2.800000e-001  1.869847e-004  3.868683e-006
 2.820000e-001  1.876646e-004  4.563113e-006
 2.840000e-001  1.980028e-004  3.539800e-006
 2.860000e-001  1.926414e-004  3.633327e-006
 2.880000e-001  1.923068e-004  3.597405e-006
 2.900000e-001  1.950171e-004  3.502759e-006
 2.920000e-001  1.894981e-004  3.978310e-006
 2.940000e-001  1.965180e-004  3.467352e-006
 2.960000e-001  2.025340e-004  3.307795e-006
 2.980000e-001  2.005610e-004  4.101058e-006
 3.000000e-001  2.027221e-004  3.862494e-006
 3.020000e-001  1.994769e-004  3.833964e-006
 3.040000e-001  2.029814e-004  3.677442e-006
 3.060000e-001  2.021781e-004  3.510149e-006
 3.080000e-001  1.983354e-004  3.822333e-006
 3.100000e-001  1.978364e-004  3.693741e-006
 3.120000e-001  2.011154e-004  3.746277e-006
 3.140000e-001  2.070977e-004  3.969745e-006
 3.160000e-001  2.054483e-004  4.051356e-006
 3.180000e-001  2.063590e-004  3.592878e-006
 3.200000e-001  2.005019e-004  4.237870e-006
 3.220000e-001  2.108061e-004  4.042764e-006
 3.240000e-001  2.052588e-004  3.417681e-006
 3.260000e-001  2.016610e-004  3.237756e-006
 3.280000e-001  2.123841e-004  3.636536e-006
 3.300000e-001  2.059796e-004  3.775868e-006
 3.320000e-001  2.113213e-004  3.372164e-006
 3.340000e-001  2.088957e-004  3.318223e-006
 3.360000e-001  2.116845e-004  3.729090e-006
 3.380000e-001  2.033356e-004  3.344519e-006
 3.400000e-001  2.073034e-004  3.585689e-006
 3.420000e-001  2.075522e-004  3.499838e-006
 3.440000e-001  2.146363e-004  3.393876e-006
 3.460000e-001  2.126434e-004  3.807867e-006
 3.480000e-001  2.043785e-004  3.372450e-006
 3.500000e-001  2.093964e-004  3.786096e-006
 3.520000e-001  2.120476e-004  3.773520e-006
 3.540000e-001  2.050637e-004  4.308941e-006
 3.560000e-001  2.085199e-004  4.034111e-006
 3.580000e-001  2.048812e-004  4.519687e-006
 3.600000e-001  2.035538e-004  4.611927e-006
 3.620000e-001  2.098116e-004  3.788732e-006
 3.640000e-001  2.022676e-004  4.734188e-006
 3.660000e-001  2.066522e-004  4.709379e-006
 3.680000e-001  1.994949e-004  3.503964e-006
 3.700000e-001  2.016289e-004  4.352740e-006
 3.720000e-001  2.046291e-004  4.045656e-006
 3.740000e-001  1.980565e-004  3.671254e-006
 3.760000e-001  1.933103e-004  3.708694e-006
 3.780000e-001  1.884786e-004  3.126153e-006
 3.800000e-001  1.969259e-004  3.435040e-006
 3.820000e-001  1.884892e-004  3.348702e-006
 3.840000e-001  1.898416e-004  3.924140e-006
 3.860000e-001  1.877629e-004  3.194873e-006
 3.880000e-001  1.946682e-004  3.879739e-006
 3.900000e-001  1.859489e-004  3.738572e-006
 3.920000e-001  1.848720e-004  3.828663e-006
 3.940000e-001  1.911100e-004  3.886758e-006
 3.960000e-001  1.815713e-004  3.336097e-006
 3.980000e-001  1.851333e-004  3.107132e-006
 4.000000e-001  1.832852e-004  3.086649e-006
 4.020000e-001  1.781973e-004  3.597721e-006
 4.040000e-001  1.805231e-004  3.378322e-006
 4.060000e-001  1.871387e-004  3.154740e-006
 4.080000e-001  1.740568e-004  3.934624e-006
 4.100000e-001  1.695317e-004  3.299603e-006
 4.120000e-001  1.715680e-004  3.384794e-006
 4.140000e-001  1.753194e-004  3.436328e-006
 4.160000e-001  1.637861e-004  3.336271e-006
 4.180000e-001  1.626776e-004  3.421520e-006
 4.200000e-001  1.665244e-004  3.249245e-006
 4.220000e-001  1.580681e-004  3.754501e-006
 4.240000e-001  1.589781e-004  3.537449e-006
 4.260000e-001  1.631801e-004  3.527052e-006
 4.280000e-001  1.633800e-004  3.529343e-006
 4.300000e-001  1.573116e-004  3.250247e-006
 4.320000e-001  1.503649e-004  3.613045e-006
 4.340000e-001  1.552074e-004  3.236409e-006
 4.360000e-001  1.524669e-004  3.625078e-006
 4.380000e-001  1.430142e-004  3.432605e-006
 4.400000e-001  1.507447e-004  3.746536e-006
 4.420000e-001  1.510258e-004  3.502960e-006
 4.440000e-001  1.389083e-004  3.677498e-006
 4.460000e-001  1.423671e-004  3.003549e-006
 4.480000e-001  1.348384e-004  3.645387e-006
 4.500000e-001  1.316700e-004  3.434152e-006
 4.520000e-001  1.377778e-004  4.209567e-006
